kernel,omega_rad_s,H_ref_magnitude,H_ref_phase_rad,H_window_magnitude,H_endpoint_magnitude,H_tail_magnitude,operator_vs_window_rel_error,tail_estimator_vs_window_rel_error,window_vs_reference_rel_error,operator_vs_reference_rel_error
identity,0.5,1.0,0.0,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,4.583577677364491e-20,0.0,1.1102230246251565e-16
identity,0.7446945662442,1.0,0.0,1.0,1.0,1.0,0.0,6.479462216254036e-20,0.0,0.0
identity,1.1091399939872744,1.0,0.0,1.0,1.0,1.0,0.0,1.2883432564105854e-19,0.0,0.0
identity,1.6519410534528962,1.0,0.0,1.0,1.0,1.0,0.0,1.5466724228069213e-20,0.0,0.0
identity,2.4603830525241825,1.0,0.0,1.0,1.0,1.0,0.0,1.0863811722233599e-19,0.0,0.0
identity,3.664467780188153,1.0,0.0,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,1.7761240829630953e-19,0.0,1.1102230246251565e-16
identity,5.4578184881661285,1.0,0.0,1.0,1.0,1.0,0.0,1.9436375078021962e-19,0.0,0.0
identity,8.1288155433689,1.0,0.0,1.0,1.0,1.0,0.0,9.255842403700441e-20,0.0,0.0
identity,12.106969530296427,1.0,0.0,1.0,1.0,1.0,0.0,5.2128775205193515e-20,0.0,0.0
identity,18.031988845791684,1.0,0.0,1.0,1.0,1.0,0.0,4.683354023418039e-20,0.0,0.0
identity,26.85664822407418,1.0,0.0,1.0,1.0000000000000002,1.0,2.220446049250313e-16,5.4147934384989623e-20,0.0,2.220446049250313e-16
identity,40.0,1.0,0.0,1.0,1.0000000000000002,1.0,2.220446049250313e-16,1.1005407557599255e-20,0.0,2.220446049250313e-16
exponential_tau_0.10,0.5,0.09987523388778448,-0.04995839572194277,0.09987606409933449,0.09987606409933455,0.09987602882195866,7.928986779636843e-16,4.1423853096531744e-07,8.354152777835984e-06,8.354152778548955e-06
exponential_tau_0.10,0.7446945662442,0.09972386300189304,-0.0743322511217614,0.0997246894241673,0.09972468942416739,0.09972466124392323,9.221467534995647e-16,4.136107160826856e-07,8.379533611198789e-06,8.379533612060523e-06
exponential_tau_0.10,1.1091399939872744,0.09939052181896874,-0.11046250905289977,0.09939133988309348,0.09939133988309355,0.0993913257666877,1.0794373228749929e-15,4.1222817516377533e-07,8.435835406909277e-06,8.435835407816983e-06
exponential_tau_0.10,1.6519410534528962,0.09866285116115665,-0.1637155738125927,0.09866365091397941,0.09866365091397943,0.09866366066922219,4.2343530997526383e-16,4.092101430530465e-07,8.560728558337218e-06,8.560728558666355e-06
exponential_tau_0.10,2.4603830525241825,0.09710409126145902,-0.24124654761680886,0.09710485147732743,0.09710485147732749,0.09710488684094852,1.2642165970570452e-15,4.027451484653808e-07,8.837776559163672e-06,8.83777656021828e-06
exponential_tau_0.10,3.664467780188153,0.09389430296493088,-0.35125095086302627,0.09389498034866879,0.09389498034866876,0.09389500386298576,8.360896678679775e-16,3.8943247425567533e-07,9.452346704281057e-06,9.452346703522527e-06
exponential_tau_0.10,5.4578184881661285,0.08777747697695158,-0.4995989398810681,0.08777799056904233,0.08777799056904219,0.08777796032107109,5.830476675694013e-15,3.640628061113394e-07,1.0815635897653694e-05,1.0815635901490636e-05
exponential_tau_0.10,8.1288155433689,0.07759690773476545,-0.682546342337884,0.07759712710045079,0.07759712710045083,0.07759714746265055,9.179163267740414e-15,3.2183871843324357e-07,1.3839795686835567e-05,1.3839795695910178e-05
exponential_tau_0.10,12.106969530296427,0.0636828088955587,-0.8804190774737862,0.06368256172492037,0.06368256172492034,0.06368254633206395,4.262019548446916e-15,2.6412988494985324e-07,2.0548241885478122e-05,2.0548241881424094e-05
exponential_tau_0.10,18.031988845791684,0.04849841765640804,-1.0644512529983974,0.048497507721499813,0.04849750772149981,0.04849749824081173,1.8323536623487887e-14,2.0115282323541245e-07,3.542951809448612e-05,3.542951811010574e-05
exponential_tau_0.10,26.85664822407418,0.03489430031819077,-1.2143533519595529,0.034892493755482125,0.034892493755482146,0.03489249868734243,8.09749150025337e-15,1.4473055484878908e-07,6.84406714974686e-05,6.844067149173311e-05
exponential_tau_0.10,40.0,0.024253562503633298,-1.3258176636680326,0.024250530807995226,0.02425053080799472,0.024250532988401022,2.9955021212735313e-14,1.0059981236376647e-07,0.0001416702084361572,0.00014167020846468485
soe_two_scale,0.5,0.34929634835079626,-0.23849977190682325,0.34929718061856807,0.3492971806185681,0.349301529500209,3.1784482848074237e-16,1.979014411007922e-05,2.4839756167221218e-06,2.4839756167068582e-06
soe_two_scale,0.7446945662442,0.33746831201556493,-0.3467980803636401,0.3374691059941005,0.33746910599410057,0.3374754240352053,5.757238984501262e-16,1.911393812127131e-05,2.5747210164806943e-06,2.5747210164395738e-06
soe_two_scale,1.1091399939872744,0.3150278093377995,-0.491995561721226,0.3150285295316986,0.31502852953169874,0.3150271708638285,1.3762434518474675e-15,1.7830571386394593e-05,2.766637163280817e-06,2.7666371644255596e-06
soe_two_scale,1.6519410534528962,0.2779515719790951,-0.6690562323333925,0.2779521664023056,0.2779521664023058,0.2779499391590998,8.050759505205797e-16,1.570783918571035e-05,3.157107258511733e-06,3.1571072591394157e-06
soe_two_scale,2.4603830525241825,0.22778117287665445,-0.8566618289485505,0.2277815855759412,0.2277815855759412,0.22778226723905512,6.092585479517471e-16,1.2829084518006418e-05,3.90976968811111e-06,3.909769688669582e-06
soe_two_scale,3.664467780188153,0.17364020323258866,-1.0246929736107786,0.17364039238229,0.17364039238229007,0.17364207442779694,1.0752483175708463e-15,9.707944984730724e-06,5.291861846624921e-06,5.291861845680891e-06
soe_two_scale,5.4578184881661285,0.12569594850268137,-1.1520080874206549,0.1256958854313647,0.12569588543136473,0.12569626074288928,4.798606745708288e-15,6.917527029193342e-06,7.786644996658834e-06,7.786645001441546e-06
soe_two_scale,8.1288155433689,0.08869929571436651,-1.2342169134957568,0.08869894256222254,0.08869894256222251,0.08869928341289426,8.992335923075166e-15,4.726406713073946e-06,1.2401214439011463e-05,1.2401214447629864e-05
soe_two_scale,12.106969530296427,0.062375154202464034,-1.2797823362924918,0.06237443639506723,0.06237443639506721,0.06237425054855475,4.640763470319424e-15,3.127935254804766e-06,2.1323154460102053e-05,2.1323154456322436e-05
