memory,snr_db,receiver,mean_evm_percent,mean_ber,mean_mse,parameter_count,trainable_parameter_count,state_dimension,macs_per_sample
exponential_tau_0.10,10,raw,98.607,0.4485,0.9707,0,0,0,0
exponential_tau_0.10,10,fir7,89.471,0.3535,0.7995,7,7,6,7
exponential_tau_0.10,10,iir2,90.241,0.3433,0.8129,4,4,2,4
exponential_tau_0.10,10,soe_exact,94.434,0.3901,0.8898,3,2,1,3
exponential_tau_0.10,10,soe_stable,94.434,0.3901,0.8898,3,2,1,3
exponential_tau_0.10,20,raw,98.433,0.4463,0.9673,0,0,0,0
exponential_tau_0.10,20,fir7,60.829,0.1659,0.3709,7,7,6,7
exponential_tau_0.10,20,iir2,67.347,0.1644,0.4568,4,4,2,4
exponential_tau_0.10,20,soe_exact,70.822,0.2203,0.5013,3,2,1,3
exponential_tau_0.10,20,soe_stable,70.822,0.2203,0.5013,3,2,1,3
exponential_tau_0.10,30,raw,98.345,0.4434,0.9656,0,0,0,0
exponential_tau_0.10,30,fir7,28.791,0.0243,0.0843,7,7,6,7
exponential_tau_0.10,30,iir2,29.078,0.0239,0.0862,4,4,2,4
exponential_tau_0.10,30,soe_exact,32.816,0.0373,0.1114,3,2,1,3
exponential_tau_0.10,30,soe_stable,32.816,0.0373,0.1114,3,2,1,3
soe_two_scale,10,raw,99.559,0.4658,0.9892,0,0,0,0
soe_two_scale,10,fir7,94.917,0.3991,0.8994,7,7,6,7
soe_two_scale,10,iir2,94.222,0.3892,0.8860,4,4,2,4
soe_two_scale,10,soe_exact,95.230,0.4073,0.9050,5,3,2,5
soe_two_scale,10,soe_stable,95.230,0.4073,0.9050,5,3,2,5
soe_two_scale,20,raw,99.460,0.4654,0.9872,0,0,0,0
soe_two_scale,20,fir7,73.684,0.2522,0.5428,7,7,6,7
soe_two_scale,20,iir2,76.197,0.2386,0.5807,4,4,2,4
soe_two_scale,20,soe_exact,80.801,0.2996,0.6521,5,3,2,5
soe_two_scale,20,soe_stable,80.801,0.2996,0.6521,5,3,2,5
soe_two_scale,30,raw,99.395,0.4635,0.9859,0,0,0,0
soe_two_scale,30,fir7,48.610,0.0988,0.2365,7,7,6,7
soe_two_scale,30,iir2,48.510,0.0950,0.2354,4,4,2,4
soe_two_scale,30,soe_exact,51.655,0.1131,0.2674,5,3,2,5
soe_two_scale,30,soe_stable,51.655,0.1131,0.2674,5,3,2,5
